x_value,tick,FL0_torque,FR0_torque,RL0_torque,RR0_torque,FL1_torque,FR1_torque,RL1_torque,RR1_torque,FL2_torque,FR2_torque,RL2_torque,RR2_torque,FL0_pos,FR0_pos,RL0_pos,RR0_pos,FL1_pos,FR1_pos,RL1_pos,RR1_pos,FL2_pos,FR2_pos,RL2_pos,RR2_pos
-0.2,1994997,-2.98046875,0.8359375,0.27734375,5.4375,5.23828125,5.36328125,-2.7890625,-3.78515625,21.25,11.640625,9.4921875,10.3515625,0.06420005857944489,-0.07524218410253525,-0.020255515351891518,0.012945311143994331,0.7677519917488098,0.7634841203689575,0.9923756718635559,1.0015182495117188,-1.7083344459533691,-1.6989001035690308,-1.4935767650604248,-1.4797708988189697
0.0,1995047,-6.12109375,-2.76171875,2.171875,9.69140625,11.1875,-2.26953125,1.59375,-3.2890625,22.578125,-0.1953125,2.4609375,9.84375,0.061811093240976334,-0.1209859699010849,-0.019018126651644707,0.020891400054097176,0.782866358757019,0.7468780875205994,1.0199981927871704,1.0195317268371582,-1.7272024154663086,-1.731842279434204,-1.512061357498169,-1.491774320602417
0.0,1995098,-8.109375,-1.48828125,3.4765625,8.23046875,10.69921875,-2.65234375,-2.5234375,-5.234375,21.3671875,-0.15625,0.390625,13.0859375,0.07036974281072617,-0.1796206682920456,-0.005393431521952152,0.02980930730700493,0.8203660249710083,0.6828362941741943,1.0733057260513306,1.0702730417251587,-1.7291582822799683,-1.7303849458694458,-1.5441597700119019,-1.5167014598846436
0.2,1995149,-9.1328125,-1.70703125,1.86328125,8.66796875,9.34765625,-2.1875,0.21484375,-7.5859375,22.421875,-0.4296875,-0.9375,14.140625,0.079236701130867,-0.21282759308815002,0.018660826608538628,0.03726157918572426,0.8594226241111755,0.607055127620697,1.0874764919281006,1.10673987865448,-1.7358310222625732,-1.7291195392608643,-1.5777922868728638,-1.5220320224761963
0.2,1995200,-11.30859375,-1.3359375,2.234375,9.2578125,6.28125,1.46875,0.76953125,-9.86328125,22.34375,-0.078125,-0.078125,12.5390625,0.07920075207948685,-0.2258400022983551,0.04449634999036789,0.03338930383324623,0.905766487121582,0.48671987652778625,1.07790207862854,1.1403309106826782,-1.7398960590362549,-1.7267035245895386,-1.6541078090667725,-1.518235445022583
0.4,1995250,-12.92578125,-0.18359375,3.07421875,8.60546875,4.5,0.09765625,-0.09375,-12.375,27.2265625,1.09375,-0.3125,9.0625,0.07470502704381943,-0.22227932512760162,0.07112830877304077,0.02344212308526039,0.9539912939071655,0.42279279232025146,1.0652669668197632,1.1704235076904297,-1.7398194074630737,-1.722178339958191,-1.7387068271636963,-1.5027422904968262
0.4,1995300,-12.0234375,0.49609375,0.8046875,8.69921875,1.38671875,0.74609375,0.05078125,-12.31640625,26.6015625,8.203125,-0.703125,7.578125,0.052317120134830475,-0.21381817758083344,0.12131824344396591,0.001569541753269732,1.0014358758926392,0.41699928045272827,0.9972363114356995,1.196812391281128,-1.7374416589736938,-1.7087559700012207,-1.7764045000076294,-1.4748622179031372
0.6,1995351,-13.265625,2.85546875,1.1171875,3.5390625,-1.36328125,5.01171875,-1.54296875,-13.03125,23.125,16.484375,-0.625,5.390625,0.04462543874979019,-0.22857186198234558,0.14331553876399994,-0.005030753090977669,1.0404188632965088,0.5114560127258301,0.8569186329841614,1.2275776863098145,-1.6992456912994385,-1.759760856628418,-1.7771714925765991,-1.4289578199386597
0.6,1995404,2.734375,6.2109375,-10.00390625,-1.61328125,-5.78125,11.88671875,6.484375,-14.2734375,4.4140625,18.1640625,3.0078125,0.1171875,0.03584182262420654,-0.22613905370235443,0.09591402113437653,-0.0075599723495543,1.0607436895370483,0.6211467385292053,0.6730493307113647,1.2832441329956055,-1.6065163612365723,-1.7584185600280762,-1.7560791969299316,-1.379372000694275
0.8,1995455,2.109375,7.609375,-11.49609375,-1.2421875,-0.96875,10.640625,2.421875,-15.28125,0.9375,22.9296875,14.53125,0.390625,0.14295661449432373,-0.18451838195323944,-0.01947654038667679,0.012825468555092812,1.0028407573699951,0.7031866908073425,0.7089629173278809,1.3018877506256104,-1.7326481342315674,-1.7500200271606445,-1.6438684463500977,-1.2990680932998657
0.8,1995506,0.46484375,7.828125,-9.87890625,-0.21484375,-0.0703125,6.6875,-1.76171875,-12.53515625,-0.3125,24.921875,11.9140625,-4.84375,0.21730777621269226,-0.17494189739227295,-0.020400147885084152,0.012730143032968044,0.8599086999893188,0.7725045084953308,0.7638142108917236,1.2796061038970947,-1.7746024131774902,-1.7656667232513428,-1.6362754106521606,-1.2008166313171387
1.0,1995573,1.48828125,7.45703125,-8.41796875,-0.68359375,1.3203125,4.25,-1.1484375,-9.8984375,-0.390625,24.8046875,14.140625,-5.0390625,0.2195965051651001,-0.16105245053768158,-0.014719625003635883,0.00043350597843527794,0.7207054495811462,0.8517649173736572,0.843520998954773,1.258705496788025,-1.7752161026000977,-1.7654749155044556,-1.634319543838501,-1.1878927946090698
1.0,1995649,0.8984375,9.1015625,-9.2578125,-1.48828125,-0.2578125,0.1640625,-0.0703125,-5.234375,-0.15625,27.34375,13.125,-3.4765625,0.2178930938243866,-0.14689882099628448,0.00036906288005411625,-0.0023955933284014463,0.6068522930145264,0.9248327612876892,0.9112914800643921,1.2166038751602173,-1.7750242948532104,-1.764324426651001,-1.6343961954116821,-1.2502490282058716
1.2,1995725,0.9609375,11.05859375,-9.4140625,-2.078125,0.00390625,-1.05859375,-2.05859375,1.171875,-0.1171875,27.3046875,15.3125,0.5078125,0.19433045387268066,-0.14531771838665009,0.009873101487755775,-0.026113197207450867,0.5084174275398254,0.9941377639770508,0.9852578639984131,1.1579160690307617,-1.7675844430923462,-1.7473355531692505,-1.63899827003479,-1.4160723686218262
1.2,1995792,-1.70703125,11.46484375,-4.84375,-1.95703125,-2.98046875,-5.44140625,-3.98046875,-0.43359375,10.9375,19.7265625,15.6640625,-0.5859375,0.18123555183410645,-0.1451139897108078,0.029827384278178215,-0.06381721794605255,0.49456703662872314,1.0476088523864746,1.0617049932479858,1.1433827877044678,-1.8044767379760742,-1.6941447257995605,-1.6406855583190918,-1.5841200351715088
1.4,1995856,0.24609375,11.08984375,-1.83203125,-2.203125,0.16796875,-8.02734375,-5.125,-0.1328125,19.140625,9.7265625,13.359375,-0.1953125,0.165989950299263,-0.14347133040428162,0.05348451808094978,-0.13221746683120728,0.6079632043838501,1.0643712282180786,1.1226447820663452,1.0875980854034424,-1.8712048530578613,-1.575146198272705,-1.6130738258361816,-1.74614679813385
1.4,1995908,-1.3359375,10.99609375,-0.02734375,-0.8984375,3.54296875,-4.859375,-8.0390625,0.2265625,17.2265625,4.1015625,10.1953125,-0.234375,0.1710742861032486,-0.10216875374317169,0.09671573340892792,-0.20694726705551147,0.7073963284492493,1.054183840751648,1.1873141527175903,0.9532836675643921,-1.8792582750320435,-1.4294179677963257,-1.5887986421585083,-1.7673156261444092
1.6,1995959,-1.73828125,-8.69921875,1.42578125,8.203125,6.10546875,1.03515625,-9.37890625,-0.26953125,24.921875,-3.046875,8.984375,0.7421875,0.20863065123558044,-0.04996088147163391,0.14681601524353027,-0.2388843446969986,0.8017592430114746,1.0631084442138672,1.2547928094863892,0.7443621158599854,-1.8757684230804443,-1.348423719406128,-1.5637180805206299,-1.7495981454849243
1.6,1996009,4.28515625,1.55078125,4.0703125,-2.140625,2.12109375,-0.57421875,-8.98828125,2.62890625,26.40625,1.171875,8.984375,0.078125,0.14491403102874756,-0.20954619348049164,0.1004650816321373,-0.08511468768119812,0.8725350499153137,1.09547758102417,1.258973479270935,0.5622460842132568,-1.87189519405365,-1.654222846031189,-1.4843344688415527,-1.6707515716552734
1.8,1996060,8.38671875,-2.88671875,5.71484375,4.72265625,-4.40234375,2.1171875,-11.1796875,1.5390625,26.328125,-0.8203125,8.984375,9.8046875,0.0615430511534214,-0.30448049306869507,0.03816484287381172,0.04184222221374512,0.9388331770896912,0.9327263832092285,1.2586842775344849,0.5790579319000244,-1.8513782024383545,-1.758341908454895,-1.3873101472854614,-1.6426414251327515
1.8,1996110,-3.8828125,-0.62109375,1.73828125,4.78515625,-7.1875,0.76171875,-8.1640625,4.61328125,27.6171875,-0.546875,-3.5546875,14.375,0.0640270784497261,-0.3147534430027008,0.04335702583193779,0.03964807838201523,1.0026352405548096,0.7344099879264832,1.2473794221878052,0.6544256806373596,-1.8506112098693848,-1.7692713737487793,-1.3220776319503784,-1.6626213788986206
2.0,1996162,-5.99609375,-0.8984375,1.89453125,4.47265625,-6.20703125,2.23828125,-0.90234375,4.70703125,22.3828125,-0.8984375,-0.7421875,18.59375,0.050615906715393066,-0.3131657540798187,0.04836588352918625,0.02829545922577381,1.0491687059402466,0.5516735315322876,1.1992837190628052,0.7265205383300781,-1.8152146339416504,-1.7726079225540161,-1.3483470678329468,-1.678843379020691
2.0,1996212,-7.42578125,-1.86328125,1.76953125,6.8359375,-5.1484375,0.2578125,0.58203125,4.65625,20.5078125,-0.1953125,0.390625,20.546875,0.03240152448415756,-0.28047171235084534,0.05296892300248146,0.0052857473492622375,1.0822317600250244,0.4480244815349579,1.1637450456619263,0.7992650270462036,-1.7511708736419678,-1.7675457000732422,-1.4787354469299316,-1.6951035261154175
2.2,1996263,-7.671875,-0.7421875,1.45703125,5.49609375,-7.55859375,0.375,-0.10546875,5.3046875,16.25,0.9765625,-0.078125,17.1484375,0.02635004185140133,-0.24512939155101776,0.06949681043624878,-0.0098258126527071,1.1135830879211426,0.3955082595348358,1.1514697074890137,0.8806749582290649,-1.6761592626571655,-1.7589170932769775,-1.651883602142334,-1.709944725036621
2.2,1996314,-9.2578125,-0.52734375,2.421875,6.02734375,-8.8828125,0.421875,-1.765625,1.85546875,15.859375,0.78125,-0.3125,15.3515625,0.0165207851678133,-0.20173561573028564,0.1279490739107132,-0.023213835433125496,1.1428834199905396,0.3978811502456665,1.0595966577529907,0.9730499386787415,-1.5924806594848633,-1.7190719842910767,-1.7586487531661987,-1.7285826206207275
2.4,1996364,-10.06640625,2.359375,-0.49609375,1.42578125,-9.41796875,-1.98046875,0.3671875,-1.61328125,6.5625,22.65625,-0.703125,16.3671875,0.008997157216072083,-0.20925110578536987,0.19314731657505035,-0.03614180162549019,1.1611453294754028,0.48451489210128784,0.8488926887512207,1.0593842267990112,-1.5009019374847412,-1.7712656259536743,-1.7713040113449097,-1.7311904430389404
2.4,1996416,1.1796875,0.7734375,-5.34375,-2.171875,-5.5390625,0.2890625,3.0546875,-3.171875,-5.234375,21.6015625,1.71875,16.171875,0.013528290204703808,-0.1830650120973587,0.1571447104215622,-0.0377969965338707,1.1586681604385376,0.6033869981765747,0.5900130271911621,1.1527283191680908,-1.3767644166946411,-1.7883695363998413,-1.7551205158233643,-1.7147001028060913
2.6,1996466,0.18359375,-3.7578125,3.32421875,-5.58984375,2.3515625,-1.2578125,1.94921875,-4.98828125,2.5390625,20.4296875,-1.25,16.015625,0.09605775773525238,-0.12338624894618988,-0.025108715519309044,-0.006800035480409861,1.1256300210952759,0.6851631999015808,0.504690408706665,1.2070719003677368,-1.6496213674545288,-1.77920401096344,-1.566632628440857,-1.6685657501220703
2.6,1996517,0.65234375,0.02734375,-9.3515625,0.9296875,-0.43359375,-0.48828125,7.2421875,-5.73828125,-0.8203125,22.8125,11.09375,11.796875,0.19697657227516174,-0.07870747894048691,-0.023024966940283775,0.014635360799729824,1.013922929763794,0.7504042387008667,0.5825287699699402,1.2174322605133057,-1.7637494802474976,-1.7840360403060913,-1.5959700345993042,-1.600111722946167
2.8,1996567,1.45703125,1.95703125,-7.546875,1.1796875,0.10546875,-0.04296875,5.08203125,-5.28515625,-0.6640625,21.328125,12.34375,3.7109375,0.21475458145141602,-0.07268023490905762,-0.0288130734115839,0.006257839035242796,0.8426184058189392,0.8053985238075256,0.6404011249542236,1.207606554031372,-1.7673161029815674,-1.7802010774612427,-1.5955865383148193,-1.517199993133545
2.8,1996618,1.1796875,4.75390625,-6.8359375,0.0,-0.3203125,-1.46484375,4.34765625,-4.484375,-0.5859375,21.6796875,10.9765625,-0.15625,0.21259579062461853,-0.0709071233868599,-0.026151753962039948,0.008273379877209663,0.6677272915840149,0.8579370379447937,0.6950366497039795,1.1932240724563599,-1.770422339439392,-1.7699617147445679,-1.6020292043685913,-1.428650975227356
3.0,1996669,0.49609375,6.86328125,-6.2734375,-0.9296875,0.28515625,-2.16015625,3.70703125,-2.12109375,-0.625,24.140625,13.75,-0.703125,0.20290054380893707,-0.06502313911914825,-0.014766739681363106,0.01830253377556801,0.5398945212364197,0.9120708703994751,0.7541080713272095,1.168321132659912,-1.7708442211151123,-1.7666254043579102,-1.6208587884902954,-1.4133496284484863
3.0,1996720,1.0546875,7.609375,-7.14453125,-2.546875,0.25390625,-4.375,4.16796875,0.3125,-0.46875,23.8671875,18.8671875,-1.640625,0.18228685855865479,-0.06359728425741196,-0.006629176903516054,0.00959952175617218,0.46885889768600464,0.9694868326187134,0.8307375907897949,1.152010202407837,-1.765628695487976,-1.7574981451034546,-1.6594001054763794,-1.4517375230789185
3.2,1996770,0.49609375,7.703125,-5.4375,-2.171875,1.3828125,-7.07421875,3.3828125,-0.046875,0.9375,21.484375,21.0546875,-0.1953125,0.1594925969839096,-0.06407692283391953,-0.000323830870911479,-0.016489315778017044,0.4432535171508789,1.0231752395629883,0.9115338921546936,1.1391050815582275,-1.7583422660827637,-1.738515019416809,-1.6942214965820312,-1.5532103776931763
3.2,1996821,-0.40234375,7.734375,-1.1484375,-3.4453125,-1.3515625,-7.6015625,3.25,-1.21484375,14.765625,16.5234375,22.0703125,-0.0390625,0.15811604261398315,-0.06688151508569717,0.012173525057733059,-0.06545501202344894,0.4948200583457947,1.0622895956039429,0.9736476540565491,1.1160192489624023,-1.78718101978302,-1.7017379999160767,-1.7005491256713867,-1.677654504776001
3.4,1996871,0.02734375,6.12109375,-0.33984375,-1.3046875,1.5234375,-9.53515625,-0.3203125,0.171875,14.1015625,8.671875,19.9609375,-0.3125,0.1548105925321579,-0.06311517208814621,0.025645162910223007,-0.1550561487674713,0.588744580745697,1.073216438293457,1.0381827354431152,1.031596064567566,-1.8242267370224,-1.610044240951538,-1.6942981481552124,-1.7435773611068726
3.4,1996923,-0.49609375,11.6796875,2.234375,-3.29296875,6.06640625,-4.58203125,-3.05078125,-1.5,13.3984375,6.3671875,16.2890625,-0.7421875,0.16884714365005493,-0.017714276909828186,0.05958859622478485,-0.20494481921195984,0.6879940629005432,1.07224440574646,1.1187294721603394,0.9042086005210876,-1.8275630474090576,-1.4758208990097046,-1.684403896331787,-1.7563860416412354
3.6,1996973,-1.86328125,-0.49609375,3.04296875,3.04296875,3.47265625,-0.26953125,-5.7109375,-0.46484375,20.78125,-2.34375,12.5,1.484375,0.21121978759765625,0.02958848513662815,0.11031343787908554,-0.24045948684215546,0.7793715596199036,1.074310064315796,1.1968995332717896,0.7406688928604126,-1.8251854181289673,-1.3749233484268188,-1.6761205196380615,-1.7422734498977661
3.6,1997023,3.07421875,-0.7734375,3.26171875,2.203125,1.8359375,-3.1796875,-4.08203125,0.671875,22.734375,0.9765625,15.8984375,0.1953125,0.14777688682079315,-0.12940308451652527,0.07273413240909576,-0.15314722061157227,0.8484709858894348,1.0968942642211914,1.209322214126587,0.5806642174720764,-1.8251854181289673,-1.6041001081466675,-1.6055573225021362,-1.6673383712768555
3.8,1997074,8.54296875,-0.27734375,5.58984375,-4.19140625,-2.6171875,-0.1796875,-5.80859375,2.46875,21.1328125,-0.3125,14.2578125,1.015625,0.06047398969531059,-0.28390172123908997,0.015968140214681625,0.02988237515091896,0.9115210771560669,0.9619929194450378,1.211034893989563,0.5514176487922668,-1.8190494775772095,-1.749406337738037,-1.5183122158050537,-1.5996131896972656
3.8,1997124,-2.01953125,-1.92578125,1.39453125,3.8828125,-3.69140625,-0.26171875,-4.01953125,7.0,23.0078125,-0.6640625,0.7421875,16.796875,0.06105854734778404,-0.30798208713531494,0.025154905393719673,0.04353288561105728,0.9748084545135498,0.7411710023880005,1.2050048112869263,0.625444769859314,-1.8196247816085815,-1.7690798044204712,-1.4442209005355835,-1.6178675889968872
4.0,1997176,-5.55859375,-0.15234375,0.7109375,3.5703125,-4.29296875,1.91015625,0.4140625,3.68359375,20.9375,-0.6640625,-0.546875,17.265625,0.05922222137451172,-0.3210162818431854,0.030003860592842102,0.048680901527404785,1.0302700996398926,0.5657536387443542,1.1693615913391113,0.7000732421875,-1.7965766191482544,-1.7723010778427124,-1.4331378936767578,-1.6371957063674927
4.0,1997226,-8.078125,-1.1171875,2.234375,6.7109375,-6.2734375,0.4609375,0.83984375,5.890625,20.6640625,0.0,-0.2734375,19.7265625,0.041808322072029114,-0.2823638319969177,0.02836448885500431,0.026173429563641548,1.072789192199707,0.4503970742225647,1.155596137046814,0.7891650795936584,-1.73636794090271,-1.766510248184204,-1.522684097290039,-1.6693710088729858
4.2,1997277,-7.30078125,-0.7421875,1.2421875,6.1796875,-8.4453125,0.78515625,-0.21484375,5.1015625,16.015625,0.625,-0.1171875,17.3046875,0.030604440718889236,-0.23791489005088806,0.047792285680770874,0.007456809747964144,1.1123372316360474,0.3925718367099762,1.1493499279022217,0.8800286054611206,-1.670061707496643,-1.7558491230010986,-1.6739345788955688,-1.695908784866333
4.2,1997328,-9.0390625,-0.12109375,2.671875,4.62890625,-9.5703125,0.57421875,-2.01953125,2.68359375,14.453125,4.140625,-0.7421875,15.625,0.022225001826882362,-0.19537337124347687,0.10483288764953613,-0.00477148313075304,1.1473779678344727,0.39530426263809204,1.0641272068023682,0.9691421985626221,-1.6008024215698242,-1.7161190509796143,-1.763404130935669,-1.7155054807662964
4.4,1997378,-9.87890625,2.203125,-0.55859375,0.05859375,-9.97265625,-2.3515625,-2.12890625,-0.26953125,7.890625,24.53125,-1.1328125,16.1328125,0.015024673193693161,-0.20886869728565216,0.1811184287071228,-0.02031146176159382,1.1684437990188599,0.4802156090736389,0.8783014416694641,1.0537506341934204,-1.51382577419281,-1.7753690481185913,-1.7736432552337646,-1.71853506565094
4.4,1997429,0.08984375,1.2421875,-5.83984375,-3.8203125,-4.62109375,0.9921875,0.94140625,-3.7109375,-2.8515625,21.796875,1.6796875,15.9765625,0.011180203408002853,-0.18686510622501373,0.16477325558662415,-0.026794927194714546,1.1617668867111206,0.5994201898574829,0.6140384674072266,1.1447116136550903,-1.3733514547348022,-1.8000277280807495,-1.7649381160736084,-1.7025049924850464
4.6,1997481,0.49609375,-3.16796875,2.453125,-5.49609375,1.19921875,-2.08984375,2.7890625,-6.08984375,1.953125,20.625,-1.015625,17.109375,0.0883006751537323,-0.1337779313325882,-0.0005625566118396819,-0.002806001342833042,1.134413242340088,0.6878228783607483,0.488172322511673,1.2016786336898804,-1.629679560661316,-1.7916676998138428,-1.6004568338394165,-1.6534559726715088
4.6,1997532,1.1171875,-1.3046875,-8.48046875,-0.37109375,-2.2890625,0.23046875,8.0,-6.265625,-0.703125,23.0078125,10.859375,14.8828125,0.19129550457000732,-0.06188272312283516,-0.03959914669394493,0.036026932299137115,1.041991949081421,0.7557127475738525,0.555060625076294,1.216726303100586,-1.7578437328338623,-1.7895582914352417,-1.601760745048523,-1.5812437534332275
4.8,1997582,1.58203125,-0.55859375,-5.74609375,1.86328125,-0.06640625,0.48046875,5.8203125,-4.4453125,-0.3515625,21.71875,12.65625,5.78125,0.21239425241947174,-0.05644160881638527,-0.05044487491250038,0.015665730461478233,0.8840380907058716,0.8119913935661316,0.6146347522735596,1.2010152339935303,-1.7690417766571045,-1.791974425315857,-1.6013004779815674,-1.493423342704773
4.8,1997633,0.8046875,2.453125,-4.75390625,0.40234375,1.9765625,-2.72265625,3.8671875,-4.56640625,-0.390625,21.40625,12.5390625,-0.5078125,0.21390289068222046,-0.05230787396430969,-0.04990476369857788,0.013126170262694359,0.703315794467926,0.8649481534957886,0.6752262115478516,1.185818076133728,-1.7700005769729614,-1.7783602476119995,-1.6068612337112427,-1.406369924545288
